500 100000
157 301 9.0837
153 149 2.4588
405 370 3.0374
268 21 2.5276
401 256 7.6267
331 407 6.9110
345 362 9.4148
263 291 8.0143
12 152 5.6782
348 196 4.4143
493 248 1.9607
338 303 8.9479
127 463 6.5707
299 46 2.2438
146 429 6.7743
268 267 1.3803
470 345 6.0301
117 150 3.4233
416 236 5.0063
87 138 6.3002
388 394 4.7769
479 276 9.6712
1 101 9.5186
118 149 6.8404
205 116 4.8763
19 226 4.1887
195 35 1.9276
0 242 1.9398
312 400 9.0295
408 351 7.7370
494 243 2.3688
367 171 5.7479
242 428 9.5768
422 26 5.9081
459 240 7.9556
403 124 7.7209
426 198 6.4366
443 14 5.8790
365 193 0.2977
68 252 6.1743
216 436 7.0292
312 340 8.3412
273 384 4.0551
152 241 7.6073
167 488 5.0861
425 94 5.9993
276 408 7.0119
89 357 7.4883
421 175 9.0766
142 77 9.2331
303 94 0.7885
223 324 5.7544
304 366 4.1515
250 170 7.1608
317 390 6.4069
403 166 8.1932
151 263 3.1738
287 317 0.6580
372 41 2.4951
407 140 6.3764
393 187 8.0500
173 397 2.6622
350 412 7.9558
302 141 3.9015
47 184 2.2334
427 5 0.9423
350 73 9.9468
325 261 1.5224
318 27 1.5591
250 289 9.8989
217 306 6.5748
198 161 5.9423
373 214 4.1549
329 281 5.2415
301 398 1.5705
204 220 6.3732
466 339 8.8421
177 287 7.6843
115 460 2.7309
390 305 6.2878
382 390 6.0163
343 247 5.5223
49 256 1.0598
175 423 8.4741
433 465 7.5384
21 490 3.9383
106 233 4.8969
312 498 6.6278
144 25 7.8527
487 341 9.1593
207 208 9.1230
243 173 3.1727
206 315 6.9057
474 396 6.9727
490 257 1.6108
26 84 0.0019
103 464 6.9794
99 368 5.5165
257 187 7.2603
30 48 2.3781
333 182 1.5856
100 419 4.7592
406 89 4.4978
137 190 1.9448
262 113 7.6278
269 244 5.1134
244 33 7.1189
99 125 5.6272
234 108 6.1550
293 247 0.1457
211 248 9.8165
139 313 6.7655
68 76 7.0860
479 317 2.4979
111 338 7.3312
88 245 1.9143
118 120 4.6698
166 192 9.1421
465 84 5.8291
281 133 6.3510
169 74 1.9503
309 349 2.4948
13 365 9.5538
463 247 6.6750
235 92 5.7872
40 261 9.5144
138 499 5.0655
150 47 9.4951
216 248 0.5852
466 127 8.1241
183 21 0.6449
493 10 0.6816
256 5 8.5196
88 264 2.2454
323 401 6.9932
273 16 2.6561
412 109 8.2237
451 15 9.0261
479 445 0.8961
254 311 6.1937
170 356 4.2200
109 405 8.2677
139 341 2.1869
352 327 0.1502
342 63 3.4373
387 155 8.3117
208 375 0.6223
307 349 7.0712
341 332 2.7925
213 205 0.7946
101 167 6.7359
70 439 1.6829
61 411 6.0497
26 498 2.0802
235 67 2.1522
9 149 8.7522
470 154 2.5682
255 465 0.4691
268 448 2.3073
198 248 2.7715
308 460 2.1342
315 61 9.7611
37 257 7.1564
486 18 2.9146
394 484 4.9847
34 423 5.0664
446 211 5.4816
50 138 9.4367
231 92 7.9623
255 16 1.3896
134 209 4.3670
83 100 0.9349
52 360 0.0279
466 68 8.8711
309 474 2.0542
484 431 7.0743
405 456 8.3767
392 174 2.7968
154 73 5.4379
475 321 7.0325
434 38 8.7657
180 467 0.0082
464 96 1.8928
170 217 0.5455
180 330 0.9621
348 151 8.9123
29 339 1.4526
36 243 7.6741
328 426 9.3020
177 158 4.8661
369 2 5.3427
251 436 7.3557
461 428 2.3389
197 99 7.1115
110 417 1.6071
176 497 8.2929
149 269 5.6064
266 27 6.6508
353 399 4.9000
411 3 3.3516
256 443 6.0767
252 61 0.1665
180 195 5.9399
374 40 4.3293
412 397 5.6584
223 195 3.4593
354 497 1.2127
138 88 0.4957
43 33 8.3904
253 275 2.4301
454 416 7.6546
445 409 2.3270
228 316 8.1833
240 384 4.1802
367 340 5.4855
222 38 8.3058
324 98 5.4055
78 34 1.2372
187 478 6.3757
11 335 1.3704
285 405 4.5771
54 224 8.6008
497 403 1.3551
229 210 4.2929
437 68 2.7987
223 139 9.6572
287 134 1.4362
232 77 5.4681
240 265 1.5387
168 437 5.4230
32 95 1.7682
158 351 8.0003
72 447 4.5223
346 448 4.6822
67 23 5.4873
374 302 3.3372
296 245 1.9593
415 449 1.7805
78 469 8.2297
282 134 9.3409
27 128 1.3226
215 204 7.2623
263 397 3.0531
442 147 3.0594
105 358 9.1071
325 498 6.2786
235 194 8.2643
203 79 5.4554
440 64 1.7576
345 69 8.8900
145 305 1.5014
66 234 7.5980
179 11 8.2538
410 24 7.0888
27 311 3.6713
16 285 0.9990
176 439 7.3018
478 78 8.5741
81 261 8.5282
329 265 0.0363
187 149 0.2596
31 120 1.2577
175 302 5.7289
350 406 7.5401
427 346 0.5958
290 159 3.3754
411 6 6.9383
450 440 4.0958
263 445 9.2672
349 378 0.2684
210 493 7.8568
316 245 5.7952
418 434 8.4829
289 3 6.2770
246 143 3.4820
28 218 7.6899
404 33 8.7644
122 433 4.7130
404 283 7.4601
484 498 4.5171
168 144 3.4492
64 204 1.7247
434 435 5.4686
18 4 0.8777
358 280 9.5748
149 92 4.8934
313 76 2.0606
174 107 7.3727
340 292 2.7414
367 413 4.4986
395 499 1.2981
288 136 5.9874
356 268 1.4342
54 102 2.6047
406 101 4.2693
45 324 5.9825
470 88 7.2400
276 324 7.4188
283 95 0.9426
254 204 1.1384
456 455 5.1866
11 257 6.3357
98 361 7.5874
13 491 4.1511
121 475 5.6699
401 36 2.9186
493 46 3.5892
314 4 6.0858
186 403 9.4595
110 362 4.5060
468 71 3.5284
229 221 4.7106
64 169 6.3795
85 322 3.3777
344 25 1.5481
61 387 0.6528
196 26 1.6630
234 247 3.1362
93 285 5.0299
152 424 4.4912
328 448 2.7202
228 13 8.8440
256 416 1.0492
126 204 9.2252
130 455 5.4061
2 15 8.2194
152 450 2.8788
110 344 1.4351
370 380 6.7873
63 4 7.3445
381 71 4.1975
397 37 0.1971
231 373 8.3535
238 409 0.9634
442 139 0.9213
492 356 8.3044
229 321 5.5305
167 265 3.2893
372 48 8.2992
412 288 0.9304
145 1 9.3718
313 462 6.6495
25 416 3.0513
76 341 5.6823
53 91 8.6302
53 248 3.2975
48 301 1.8327
370 242 3.6538
92 56 1.0750
230 345 1.7407
175 215 4.7948
126 170 0.9798
147 348 2.7165
355 397 7.5706
114 144 3.9215
241 386 4.6884
352 485 2.8896
23 412 1.1035
342 452 1.3630
208 454 3.8012
84 4 5.7268
332 338 0.1612
485 168 5.1883
288 434 5.9042
251 62 4.1998
267 186 5.8438
24 2 7.5233
391 236 8.4100
355 482 9.6300
461 87 9.7813
407 452 1.8538
353 216 5.4252
445 311 6.4779
94 323 4.1610
223 177 9.1194
488 449 8.9938
99 448 6.2108
275 432 0.4271
333 100 7.2215
255 424 0.6990
496 193 5.2804
424 132 3.0826
220 409 3.1598
382 257 0.9638
320 146 7.8228
484 152 4.3084
267 234 5.1550
4 242 6.8694
137 452 3.6071
190 104 9.8567
293 279 9.8388
0 492 5.7447
372 177 4.4611
116 448 9.1648
152 190 8.7421
116 364 0.5265
279 292 9.7411
405 452 8.3150
390 326 6.7175
241 359 3.8126
304 75 0.8610
135 460 7.7582
492 106 0.1610
407 337 6.5826
456 438 1.6830
63 407 8.9172
204 337 2.8915
424 352 7.3231
435 278 6.5805
216 298 5.9149
108 218 4.5885
481 101 7.1239
490 208 1.4861
466 401 7.6485
211 444 8.8509
152 92 0.4619
121 451 0.8725
436 220 5.2977
3 434 0.8325
327 118 1.1482
122 339 5.5671
142 329 9.7483
322 11 6.0916
338 115 5.6962
391 460 7.6980
157 218 3.8407
388 217 9.6193
189 74 5.7522
444 336 6.3507
13 122 9.4888
300 454 0.9665
377 66 6.6644
378 241 5.1180
76 466 7.9998
347 55 6.3391
418 336 9.3532
205 254 4.2300
385 252 1.8305
244 261 8.2808
277 380 2.5969
149 184 2.0384
388 264 7.1761
383 196 4.8792
128 169 5.9118
113 192 6.6370
157 158 1.3119
370 145 7.0147
49 1 2.6459
191 145 8.7688
262 395 2.4174
220 286 9.3050
324 465 9.3652
155 429 4.8586
31 162 3.4984
391 474 3.7830
202 128 0.2935
384 171 0.3805
392 315 5.9292
204 450 5.0251
203 368 6.3620
409 8 6.6444
318 125 2.0570
71 156 6.0656
473 493 3.4588
117 470 8.5755
258 243 0.1080
26 7 8.2499
149 473 1.9991
494 334 0.6636
387 181 0.1869
243 172 0.4990
496 366 9.6611
221 92 4.4670
27 415 0.0527
22 9 8.9491
284 401 8.1018
288 447 3.3635
20 358 9.0801
383 0 1.1426
120 441 9.8762
258 240 3.8735
422 366 3.2182
355 185 1.6579
478 498 0.3959
238 90 2.4779
382 318 9.2845
267 430 8.7292
82 258 9.7677
120 337 0.1962
458 137 5.8016
61 265 7.1683
86 24 6.3250
268 312 2.8558
172 322 1.8584
361 345 4.1205
470 86 3.4187
274 363 4.1226
18 5 5.8667
417 198 1.1086
135 12 7.6932
126 323 5.0804
361 233 9.0970
233 71 9.8369
13 397 9.2936
69 89 1.7512
356 175 5.8682
130 442 8.1557
15 48 7.8919
202 392 7.0647
415 79 7.1657
196 173 3.2114
336 225 3.5493
235 30 9.5721
447 152 4.6031
36 62 5.8755
224 375 4.1388
428 229 1.3979
125 371 3.0051
329 241 2.6681
326 311 2.1622
248 132 1.3704
90 315 0.6281
191 55 5.9025
379 156 8.3386
288 112 2.9935
55 422 6.7510
79 428 3.9737
53 59 2.3624
322 367 9.1389
461 56 5.2343
252 188 9.0265
438 136 9.5965
320 143 1.1927
20 227 3.1394
26 67 2.8998
302 412 5.7917
71 259 9.2090
415 385 2.4469
165 364 3.4390
426 279 5.6714
80 429 0.7117
468 230 7.2304
37 171 2.0864
37 261 7.7844
382 431 5.4843
458 362 1.1083
493 197 3.8331
288 227 6.1873
15 5 5.7866
263 8 6.7196
492 366 4.4124
54 94 3.2882
13 109 1.2354
94 99 7.8690
7 479 0.6010
187 162 1.0421
337 94 5.0076
62 358 8.5814
271 7 7.1542
79 312 8.2368
195 256 6.8789
91 440 4.2612
25 149 5.6923
202 311 7.0731
360 384 3.2300
135 117 3.0411
309 201 6.9798
272 183 2.1795
454 198 7.2931
298 24 1.1656
465 423 7.1437
198 233 8.0815
32 180 0.7547
152 107 2.1124
171 319 9.6581
85 157 7.8690
443 152 8.4616
387 136 0.3596
183 140 3.2214
336 40 8.9298
376 394 0.3979
241 472 8.3687
59 401 4.3280
428 15 7.1618
441 215 2.7736
148 379 4.4824
78 62 6.2543
313 253 8.1857
121 245 4.8884
334 419 0.5710
488 92 4.2008
442 114 9.5069
144 194 9.7768
132 293 9.2770
157 59 5.1836
234 137 3.2403
258 302 0.2182
312 117 0.4122
43 68 8.3910
174 240 9.9919
173 65 8.5552
7 468 6.4740
478 280 8.7343
462 101 8.3734
209 446 6.2725
338 208 1.0875
82 209 4.2442
322 468 4.4251
275 363 2.0350
18 285 4.3366
164 374 6.2915
58 324 5.5951
67 251 5.6748
200 466 4.5485
452 170 3.2144
24 35 1.2836
487 315 5.2615
24 436 5.4587
158 168 0.5827
91 428 2.1832
240 465 8.2456
317 204 6.5133
331 135 5.3199
1 499 3.4543
360 357 0.2319
221 474 1.6563
198 493 1.0203
483 219 3.3138
282 214 0.7942
12 354 1.4190
374 31 7.8433
206 488 4.0301
165 244 4.7693
72 428 6.0460
484 151 4.3990
206 314 7.7164
78 122 4.3996
463 462 1.5845
260 252 2.5101
133 182 1.7508
110 50 6.0069
211 456 1.9521
260 48 8.1115
321 340 3.1016
320 305 8.3063
107 75 6.4611
3 489 0.9175
181 75 4.2289
425 158 6.6265
346 378 2.1560
8 36 4.8656
132 489 6.7396
395 338 0.7753
18 229 3.7400
4 9 2.6008
283 323 6.8662
2 70 1.0838
484 370 3.5162
195 292 2.2919
275 399 0.0460
447 56 6.5822
313 317 9.2889
372 38 4.6493
28 158 2.8159
153 441 5.2500
483 98 8.4935
41 47 1.9752
452 474 1.0401
114 135 6.8306
119 108 2.4932
250 299 1.8697
315 58 7.7993
296 135 2.8942
346 104 6.9481
253 310 2.1971
95 310 1.6575
100 21 2.1243
465 485 7.1810
265 261 2.6261
216 273 5.8066
270 203 1.0420
24 127 0.1475
390 423 2.0506
353 114 1.2509
338 205 6.5133
244 492 6.8876
294 430 7.3559
465 50 5.9396
52 134 1.6466
140 224 0.6284
280 414 5.3501
387 283 8.7476
399 196 5.6810
478 244 3.9299
110 276 2.2246
56 32 9.9948
381 201 6.4575
153 95 9.4857
192 420 5.7024
78 215 8.8226
425 105 2.8551
231 215 9.6697
227 32 0.9918
496 48 0.4329
93 447 2.8244
462 441 4.4549
147 299 1.2913
331 377 6.4213
196 230 3.6923
434 337 7.2112
205 142 2.8583
356 135 6.9850
248 385 5.1750
452 144 3.9033
176 55 8.7827
190 438 9.8417
118 46 1.8106
250 164 4.9329
474 302 6.1043
105 39 5.6237
11 45 1.8012
237 334 5.8921
280 142 5.2044
183 300 5.5338
481 129 2.9985
222 353 6.1205
213 472 1.3393
339 306 7.7176
427 267 2.5824
73 83 6.8835
104 420 4.4742
35 447 5.8643
338 91 0.8937
267 413 7.9758
464 454 2.6682
15 469 7.1261
315 262 5.4294
462 42 5.8110
351 415 5.4920
128 267 6.9512
369 205 2.2065
480 129 4.6676
23 376 5.6121
109 194 3.7511
179 131 5.8907
75 119 2.7247
183 462 4.6346
216 404 8.1761
244 91 7.3430
198 52 8.8056
23 138 1.7987
235 305 2.4342
108 147 0.6049
291 211 1.4410
301 304 8.4136
126 160 6.2116
7 297 8.3949
81 285 8.4162
164 324 3.8564
460 116 2.1758
497 374 0.7409
111 403 8.0039
123 102 7.3191
322 259 2.8184
28 93 4.6100
246 231 2.7833
471 226 6.6561
9 232 0.5325
168 255 8.6463
121 296 4.2154
188 406 2.6676
158 419 9.6267
453 51 2.3621
432 174 0.6844
337 19 2.9074
311 59 2.9027
389 367 8.1571
395 388 6.3771
29 366 5.8468
446 37 4.0695
187 65 1.5625
380 321 6.9106
309 187 5.1638
39 274 0.0564
472 374 7.4052
132 82 0.6656
199 141 9.9133
467 20 0.8675
473 245 9.8683
481 144 6.8170
211 33 9.7464
273 395 2.3172
17 258 2.6611
441 174 4.2016
423 417 6.7286
132 228 0.6993
374 152 7.6167
364 304 1.0170
374 362 5.2594
76 396 4.1003
222 72 5.6783
124 364 4.9283
256 75 1.4989
293 291 2.0100
57 240 7.0776
455 420 7.8953
53 445 5.6751
107 441 0.1256
36 296 7.2174
248 127 4.7186
454 65 9.1341
146 319 8.3662
120 208 0.3411
365 462 7.5316
308 173 4.5890
308 24 2.5687
415 74 2.7686
123 495 5.0309
286 408 6.4463
65 302 1.8969
3 163 4.4296
356 466 6.4426
409 113 2.1998
65 237 2.2544
225 250 1.8952
296 185 1.5430
475 33 6.8562
227 272 6.2213
155 485 0.1906
312 251 5.7543
168 313 4.9931
340 347 2.7394
84 363 3.4911
190 467 8.9984
9 406 6.1377
176 402 3.8345
192 338 7.5223
70 309 7.8948
179 272 5.0572
227 342 5.6507
231 133 0.9910
335 109 2.5951
266 330 9.8276
59 339 7.0218
60 313 6.0491
193 235 6.4602
234 466 8.6488
379 430 1.4011
182 10 9.2616
104 294 4.9774
80 227 9.6367
309 251 4.3382
406 157 5.4991
211 94 0.1027
189 366 3.3653
441 132 1.3671
262 277 9.0994
86 94 1.2654
37 147 0.3633
345 237 5.9167
167 368 7.3472
147 285 9.3493
0 333 7.5433
491 154 2.1550
334 80 2.5651
69 400 1.0478
335 202 6.5992
112 73 7.7205
374 497 4.5445
441 418 1.3765
213 297 9.6958
220 258 8.6179
333 215 1.8493
252 437 1.8889
325 44 3.5664
287 257 7.8208
236 213 7.8843
3 222 8.7078
20 53 1.8670
269 143 1.9447
86 397 2.7995
234 91 5.8799
284 12 4.8467
338 217 0.2745
167 419 4.9292
406 496 2.6168
425 227 2.2775
476 466 8.9161
34 338 9.8796
216 279 9.9730
146 341 4.4879
49 14 2.8094
448 278 7.6710
370 77 6.7302
238 176 9.7060
214 202 0.8404
331 121 0.1484
446 221 6.9162
68 327 2.8367
123 198 4.8391
144 347 8.7748
217 330 6.1599
316 128 5.0571
72 382 2.8238
171 194 3.4911
285 393 0.6438
454 290 9.7238
68 368 1.7504
161 264 2.4611
162 34 7.6989
479 211 1.6845
180 332 1.0346
328 262 0.3380
272 139 3.8664
473 30 4.7616
465 314 4.2837
155 89 0.3612
47 454 7.3349
441 457 9.8630
268 364 9.7481
98 407 1.1474
435 86 7.9336
213 220 8.0187
425 199 7.5362
443 382 6.8491
168 224 8.5471
58 231 4.6246
161 282 0.9763
443 157 6.1197
250 186 6.5420
227 303 6.9071
367 211 2.8491
52 338 1.8871
400 450 2.3431
234 77 7.7704
219 9 7.3045
197 384 3.7341
32 126 2.3425
129 333 7.9959
300 361 4.0078
259 208 1.6304
477 169 8.3222
343 269 6.6141
494 31 2.0704
370 286 0.3288
303 294 8.3796
14 247 2.9046
280 330 9.4824
102 282 7.4903
242 47 3.3348
380 389 1.4992
266 187 4.4026
126 404 5.9138
242 431 0.5334
366 370 8.3228
122 93 8.6682
294 138 0.6082
154 159 5.9877
499 328 7.5714
497 378 8.3171
391 433 9.9180
333 153 9.9264
4 43 8.5479
381 24 6.6155
208 34 7.3551
253 101 5.9386
292 440 5.8055
195 169 9.7716
291 229 0.1884
151 63 0.8135
408 47 7.4980
396 8 7.3054
422 455 6.2305
36 405 2.6249
377 329 7.4555
178 96 4.5024
438 138 7.7378
173 460 7.6037
493 382 6.6471
462 244 8.7630
340 466 6.0200
102 264 8.6592
353 235 2.4294
141 256 8.0093
317 100 7.1436
351 182 1.7401
413 170 0.5600
348 53 3.7520
429 174 5.0817
29 340 8.1273
219 381 4.9087
244 136 3.3902
301 258 6.0385
165 487 5.9064
195 451 6.9453
161 193 4.6453
298 28 1.6767
481 48 1.5162
311 483 0.3266
316 217 0.5383
260 434 7.1011
2 86 0.6098
285 143 0.8694
56 303 9.7358
248 349 2.1271
69 200 9.4826
461 340 4.8072
486 286 4.1678
176 421 2.1243
251 131 8.7297
398 443 9.9490
183 149 0.9081
290 135 1.8553
218 415 7.6837
339 342 2.0773
331 158 1.8536
195 495 2.7090
493 201 1.4892
473 486 4.3710
32 483 6.6269
348 441 8.9521
196 75 6.7395
394 63 2.6538
62 167 0.7785
167 305 8.6941
56 105 0.1137
7 149 8.0335
199 381 3.8583
287 85 0.9520
86 127 8.8725
53 28 1.6775
258 193 6.3161
119 419 3.1548
454 404 5.3405
175 420 3.7545
223 388 5.8786
453 352 1.7898
41 70 5.9884
70 9 0.5456
359 168 2.5541
14 102 1.1772
329 360 6.5445
299 41 1.5463
363 112 7.0284
290 190 2.4194
377 213 1.3493
42 146 9.6997
417 7 5.9496
114 218 8.4676
494 482 8.8675
204 390 3.4399
468 243 8.0837
103 356 0.8038
61 342 4.4373
60 134 7.7522
90 461 9.4414
408 167 4.5893
80 14 2.5699
363 210 2.8475
117 312 1.6821
423 358 8.4505
317 328 5.2194
446 7 8.7691
476 322 0.9447
97 145 1.3931
344 437 8.8130
297 367 9.8508
104 143 4.6107
345 304 5.6971
52 325 8.5900
17 77 0.4993
393 103 2.1661
188 90 6.6753
280 30 1.6036
276 142 3.6703
411 489 8.9983
267 52 0.9790
296 48 7.4223
425 356 0.3161
253 291 6.6615
440 366 3.0552
442 493 9.4148
304 340 9.4011
102 138 4.0308
47 44 8.0844
395 11 6.6807
227 13 1.9609
212 489 6.9155
280 87 9.4830
490 29 3.5149
54 226 4.7565
336 371 1.3146
158 235 9.9321
366 333 9.2515
53 5 3.4615
462 218 0.7876
418 14 1.3105
368 192 0.0029
137 179 5.8061
70 252 3.6172
357 254 3.9577
235 40 9.2330
410 280 0.8436
189 117 2.8291
360 463 6.3382
357 6 6.0501
424 77 5.2636
239 128 2.3385
164 254 0.3402
65 251 2.9674
24 172 8.0817
221 341 4.9707
481 166 2.5747
435 110 2.8873
314 154 3.6245
258 421 7.5423
463 417 4.4666
228 375 9.9553
425 412 3.5743
398 189 9.0662
367 271 0.6104
47 433 4.6989
74 273 2.9877
169 341 2.9662
252 338 6.8220
159 495 3.2553
365 6 7.3453
250 282 3.3822
439 498 7.5379
238 278 6.2396
118 464 2.2197
289 201 6.9116
105 217 8.7035
93 58 3.6794
406 268 1.5868
48 237 9.5409
467 444 0.8820
195 459 4.8522
225 269 7.5796
396 29 3.7887
263 380 9.3661
276 61 3.4439
199 110 3.4649
133 143 5.4006
99 71 6.5775
478 470 5.7156
49 361 9.1954
408 179 6.7333
486 290 3.3255
469 58 6.5587
271 214 0.4261
229 7 4.5927
334 61 5.2303
336 378 7.6539
341 153 1.0140
473 445 9.8283
63 249 1.1245
31 41 4.1280
276 275 9.6437
96 256 7.5822
194 63 1.8210
221 94 4.7795
125 418 8.3773
357 115 9.2103
182 331 3.7825
103 93 6.2059
435 214 5.2359
476 477 3.7914
162 451 3.5253
368 421 9.6479
72 89 7.4006
465 334 2.5314
50 144 2.6689
483 414 9.0133
433 266 3.7752
62 395 1.6979
411 39 4.7053
380 303 8.2663
388 348 5.2881
8 277 0.4337
87 462 1.0142
446 121 1.2957
5 114 9.6626
471 409 6.3420
498 218 0.8668
164 486 0.8894
494 373 4.1208
150 378 9.9592
257 208 2.0399
380 326 6.3146
485 224 1.5766
114 219 3.6119
489 300 4.5114
124 232 1.7642
13 187 7.8269
50 303 4.5078
337 292 9.4046
239 97 4.8892
134 142 4.4649
256 36 2.6198
30 36 4.6413
438 399 1.8718
76 136 8.3140
419 493 0.8359
385 422 4.7430
493 180 7.4578
332 108 5.6027
106 465 2.6987
40 163 3.0137
280 442 1.0891
179 221 7.8600
86 62 9.5992
17 86 0.9350
308 382 8.7748
379 351 5.3574
