50 1000
47 14 2.2553
15 11 8.1599
1 9 0.4291
3 18 1.1344
45 6 9.8278
36 9 1.2321
4 12 7.1340
45 39 4.2575
3 35 2.2717
29 36 2.3778
16 28 7.8096
38 42 8.8491
35 25 3.8255
19 23 8.5031
19 32 1.6263
45 36 9.5471
10 12 5.8909
40 12 6.7876
41 29 7.2837
42 30 8.0084
28 33 7.7960
47 5 0.3365
11 22 7.9596
41 17 8.8324
16 12 3.0280
3 22 1.7302
0 27 4.6299
24 38 0.1505
40 45 4.3766
21 16 9.9495
19 36 1.6122
38 28 3.3793
5 7 2.4889
26 35 3.7299
17 4 2.4867
23 16 9.9960
27 9 8.6649
30 26 4.6255
24 22 7.5255
25 46 4.1334
41 43 9.0727
3 25 4.5352
46 17 3.3938
46 48 5.1608
33 7 0.8259
43 29 3.5462
15 14 0.7933
34 16 3.5479
31 24 0.8771
32 5 3.6955
24 0 3.3858
46 43 4.8599
38 47 8.4537
35 47 1.5160
33 25 0.3356
35 7 8.7117
23 14 4.8972
40 15 1.3443
32 30 1.2494
4 37 5.8548
36 20 8.8085
45 47 6.2617
38 29 1.8502
19 1 5.5476
17 5 6.4610
0 39 3.6563
39 30 7.1030
41 30 7.7415
9 32 5.0902
20 41 4.4180
4 38 4.5976
14 22 6.9061
14 29 8.1198
27 49 1.6604
25 35 2.9068
26 8 2.4059
16 19 1.1196
33 5 0.1956
12 35 9.0966
45 25 5.1032
26 27 5.4795
17 49 3.5384
36 29 3.8267
43 4 0.3808
26 38 3.1715
26 25 3.3625
10 40 9.9762
25 45 8.1492
2 18 6.1536
25 15 3.6394
10 37 3.2251
40 43 2.2737
25 32 5.9452
13 35 3.7708
45 21 8.7041
26 20 0.3170
9 49 7.0454
30 12 0.0938
7 45 6.4425
3 29 0.7621
3 9 0.3683
0 25 7.6734
4 36 6.7502
13 16 3.3592
45 19 1.5687
36 23 7.2455
41 38 5.5105
19 15 4.9176
1 40 4.4140
46 30 9.1990
28 31 1.8677
20 16 6.0589
20 33 9.2382
19 16 4.6917
24 26 0.9381
30 19 6.0208
6 34 4.5649
28 21 5.7904
36 39 0.6716
7 6 2.1960
20 37 5.5106
45 26 2.5803
27 1 9.2185
38 14 5.9823
23 11 7.8917
36 5 7.6745
6 42 6.7181
43 18 3.9727
24 11 9.9141
14 36 5.6250
15 25 4.6560
31 3 7.0349
15 17 9.7421
42 39 4.8116
9 2 2.5839
40 48 5.7945
23 32 4.0324
24 3 7.6974
48 21 0.9996
2 25 1.1500
27 25 4.2993
6 28 6.9890
43 0 9.3137
44 48 6.7826
43 47 6.3523
1 37 5.6217
45 48 1.4700
17 44 6.5500
31 4 7.2274
39 7 0.9874
13 45 1.9018
26 19 9.3171
22 48 7.1019
45 16 7.2035
11 47 2.2382
42 26 2.0921
22 7 8.1540
1 15 8.4506
4 9 0.1897
39 15 6.2104
10 28 5.1048
1 22 6.8825
1 23 3.1417
14 39 7.7683
45 1 2.7175
40 18 0.6972
36 8 6.1310
12 25 2.2076
5 42 3.3471
10 21 3.7506
17 37 9.9261
39 4 4.1617
13 46 1.9348
36 27 2.3603
4 49 9.8567
45 42 7.2765
12 44 3.6114
39 40 4.7269
40 0 7.3273
10 34 3.8812
27 40 5.6960
1 7 6.2189
25 2 2.1867
16 6 8.9784
49 8 0.4683
9 20 1.2105
37 0 3.7049
47 20 5.8420
12 4 0.3778
17 14 0.4126
0 4 5.5674
37 42 9.7786
25 30 0.9750
49 25 1.2504
43 33 3.9798
48 16 1.5906
27 15 7.0706
47 6 0.1152
12 45 6.3527
46 18 5.6069
2 3 6.2799
26 3 8.6351
15 18 4.3098
8 49 4.1524
18 48 8.3560
34 12 3.7606
4 22 4.9250
46 3 7.2881
13 38 3.0620
48 38 0.7280
35 13 6.1512
7 33 2.6678
17 26 6.5300
4 11 6.1684
18 10 6.1001
28 23 6.3241
25 19 7.5977
25 18 6.3644
9 19 9.6698
30 31 7.1481
30 6 0.5719
34 44 2.4586
19 27 4.3400
32 21 7.2775
16 2 7.6952
21 2 1.0857
28 41 2.6266
48 44 4.4349
49 7 5.3997
1 35 0.8713
42 37 1.6724
30 8 6.3941
35 49 4.5015
24 28 0.8279
0 1 2.6964
9 33 1.1980
6 21 3.4122
31 17 6.0478
11 4 0.6061
33 13 8.1635
46 47 9.7818
2 40 8.4195
0 26 2.1352
32 38 0.5960
38 18 2.1203
32 36 5.3665
8 28 2.1062
34 21 1.0166
22 31 8.6342
4 14 8.2166
17 12 6.1298
26 47 8.7421
0 6 0.3058
3 8 6.4574
30 2 4.7467
43 2 7.2644
13 22 2.9347
0 17 2.4363
19 37 6.2639
38 1 7.1009
30 10 1.8436
4 3 6.6144
15 3 1.0781
16 38 4.8561
8 47 4.5650
9 7 2.6841
42 4 1.8525
45 18 1.6836
35 11 7.7139
21 41 0.9727
46 15 5.0101
27 6 0.8101
25 26 7.3170
9 23 7.4163
11 10 9.1049
41 22 1.1904
26 37 0.7584
22 8 0.1339
6 4 8.0229
23 2 1.8553
30 9 8.1558
11 15 6.0850
7 13 3.9434
30 36 3.3481
47 35 6.3988
2 6 2.6308
17 43 1.4782
6 38 8.6671
34 17 3.8463
14 19 1.7463
5 10 2.8380
23 8 9.8851
40 37 8.6111
1 16 5.4844
43 16 5.4906
22 42 7.2135
27 17 9.1998
36 24 3.0778
10 14 5.6154
5 25 4.2854
19 7 2.6149
46 26 7.0402
15 21 6.9527
20 44 0.8852
32 26 4.9122
11 2 7.9051
20 34 8.7642
49 38 7.0849
11 41 4.9639
1 10 6.0787
4 29 6.0157
40 26 5.1839
31 6 6.6195
7 15 3.6415
35 14 3.7724
44 21 1.1565
39 44 2.5429
35 41 1.1907
38 7 7.9292
31 47 2.3752
46 16 7.1450
31 13 2.0051
11 40 0.2584
7 22 9.8014
35 5 2.8494
24 44 0.8200
22 46 9.0948
41 14 3.5281
10 43 2.9645
6 32 5.0142
1 12 1.8819
48 46 3.1083
23 37 4.9528
31 16 7.3907
11 46 7.3582
23 9 1.0590
41 42 4.9651
6 24 0.8158
1 46 6.9245
30 11 6.9599
15 5 2.4118
41 31 9.4864
16 5 2.4893
43 35 9.9740
30 5 6.0382
11 19 7.4487
1 41 9.7047
41 32 8.6615
3 6 3.8792
29 7 3.6974
21 29 7.0383
34 39 8.3023
20 38 2.6967
31 39 7.8448
0 44 6.9840
43 42 5.4839
29 43 7.6747
2 16 0.0969
29 28 4.2706
12 24 1.3498
32 45 8.4086
6 22 4.1664
28 24 1.1645
42 32 9.2678
42 25 1.5577
30 22 0.6163
35 18 7.6960
22 18 5.3079
4 48 9.6217
12 17 9.4539
18 40 5.8466
2 42 7.0928
41 21 1.1531
36 32 0.5637
11 44 6.2546
7 27 9.5172
15 29 9.0293
2 24 8.7821
41 23 7.4464
19 20 2.7817
15 27 8.1144
10 6 0.3771
40 32 1.1793
39 37 6.5741
7 19 0.9641
28 25 3.4129
34 3 4.7628
12 48 9.3928
23 42 7.7836
14 41 2.9353
47 46 3.8730
38 34 1.5605
9 1 0.6079
8 32 8.6126
30 23 6.3411
2 17 9.6500
6 37 8.3855
2 36 8.2699
11 29 3.3482
14 28 7.0377
9 12 7.9444
8 24 6.7049
2 19 9.2990
35 37 5.3335
25 8 8.1913
43 3 2.2666
4 30 3.7301
36 44 3.9537
0 43 7.7976
21 47 6.2809
0 3 5.0640
33 45 7.6881
10 41 3.2803
24 20 3.6404
25 24 5.8807
29 1 5.8063
31 43 9.9477
47 25 6.2251
18 49 8.6622
11 33 8.7520
33 46 8.9785
16 9 1.5305
23 17 5.3986
11 42 0.8193
39 41 5.0238
22 11 6.0337
1 27 3.0065
22 43 2.5308
32 17 8.2125
14 3 2.0323
30 40 9.6895
31 20 5.4225
17 10 9.4152
40 30 8.2681
47 29 6.3946
48 14 5.4334
27 36 1.8334
38 36 1.5197
44 4 8.0236
26 0 1.6902
9 21 5.7548
40 19 8.6414
3 21 6.7972
29 49 5.7552
0 33 5.5263
10 49 8.0619
35 9 8.8746
23 6 2.1070
12 5 7.2375
9 36 0.4780
20 21 7.3350
44 33 0.4204
16 21 2.2750
46 0 1.3348
11 24 4.4846
11 32 6.8448
19 17 0.5136
33 2 5.7909
2 44 4.3926
40 6 8.4505
25 39 6.1594
42 21 2.1002
18 38 6.1366
47 10 8.9888
36 49 0.0336
48 20 7.6438
27 5 4.5629
26 33 5.8091
25 16 4.1981
49 48 2.8945
26 14 4.6863
13 28 9.3834
44 22 7.9196
24 9 5.9858
7 46 1.3878
28 38 0.0974
12 46 6.4152
20 42 5.2303
1 26 1.7907
16 41 8.1314
20 46 0.3228
37 11 4.8141
1 19 1.6714
48 17 4.9345
37 27 4.4162
43 25 6.6823
45 3 7.8538
24 41 7.7332
25 31 1.1231
22 32 2.1366
8 9 3.4619
7 8 2.6969
43 11 1.8680
35 16 2.0588
25 10 6.4378
38 31 5.3022
13 48 3.1573
6 11 2.0045
18 21 5.2422
6 0 5.2682
4 26 3.2230
26 1 0.7728
39 31 0.4045
38 25 5.9649
24 6 4.4587
22 26 0.4532
15 42 4.6238
38 22 8.0126
27 18 4.7074
48 47 8.7258
20 17 1.1250
44 10 4.7418
8 18 8.4944
46 24 0.3795
10 30 7.1662
10 13 1.9298
39 32 8.7293
45 12 2.5753
48 33 9.3788
8 44 5.0437
2 14 4.1048
9 14 6.1029
21 33 6.1722
8 5 6.4007
16 18 8.2744
35 21 1.3305
7 43 5.5953
22 17 2.4570
12 49 5.2821
22 1 3.7749
5 13 0.2309
23 46 7.0940
18 11 8.2523
10 42 2.3779
1 32 9.4783
8 31 2.3366
41 46 4.6794
5 33 2.7775
35 26 0.9284
35 46 6.8242
22 45 4.0075
38 45 8.4831
30 32 2.5625
44 39 2.9255
4 1 3.1424
18 41 9.6735
9 35 5.9362
47 26 7.5631
13 14 1.5643
21 30 5.6752
41 45 6.7537
12 26 1.7198
26 12 5.1244
9 40 1.1146
33 49 9.8442
41 13 4.6245
28 17 2.1262
12 39 0.4291
20 45 5.9036
27 14 3.0334
40 38 4.3342
31 45 9.2954
3 37 3.7970
14 13 0.0710
40 23 9.5808
42 22 8.1200
13 37 0.4807
35 38 2.8952
34 23 4.1138
43 48 6.9504
40 35 2.6842
18 32 4.7287
43 40 3.4234
8 29 7.2963
